SEASON,PLAYER_NAME,POS,AGE,EXP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF
2019,DeAndre' Bembry,SG,24.0,3.0,23.5,3.4,7.5,0.6,2.1,1.1,1.7,0.7,3.7,2.5,1.3,0.5,1.7,2.3
2019,DeMar DeRozan,SG,29.0,10.0,34.9,8.2,17.1,0.1,0.6,4.8,5.7,0.7,5.3,6.2,1.1,0.5,2.6,2.3
2019,DeMarcus Cousins,C,28.0,9.0,25.7,5.9,12.4,0.9,3.2,3.5,4.8,1.4,6.8,3.6,1.3,1.5,2.4,3.6
2019,DeMarre Carroll,PF,32.0,10.0,25.4,3.4,8.6,1.6,4.6,2.7,3.6,1.0,4.2,1.3,0.5,0.1,1.1,1.7
2019,DeVaughn Akoon-Purcell,SG,25.0,1.0,3.1,0.4,1.4,0.0,0.6,0.1,0.3,0.1,0.4,0.9,0.3,0.0,0.3,0.6
2019,Dean Wade,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Deandre Ayton,C,20.0,1.0,30.7,7.2,12.3,0.0,0.1,2.0,2.7,3.1,7.1,1.8,0.9,0.9,1.8,2.9
2019,Deividas Sirvydis,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Dejounte Murray,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Delon Wright,PG,26.0,4.0,23.933333333333334,3.4000000000000004,7.866666666666667,0.7000000000000001,2.3333333333333335,1.7333333333333334,2.1999999999999997,0.9333333333333335,2.9,3.6,1.2333333333333334,0.43333333333333335,1.0999999999999999,1.4666666666666668
2019,Demetrius Jackson,PG,24.0,3.0,6.5,1.3,2.5,0.3,1.0,0.7,0.7,0.3,0.2,0.8,0.3,0.0,0.2,0.7
2019,Deng Adel,SF,21.0,1.0,10.2,0.6,1.9,0.3,1.2,0.2,0.2,0.2,0.8,0.3,0.1,0.2,0.3,0.7
